short_int 2
signed_int 4
signed_short_int 2
unsigned_short_int 2
int 4
long_int 8
signed_long_int 8
unsigned_int 4
unsigned_long_int 8
char 1
signed_char 1
unsigned_char 1
bool 1
float 4
double 8
long_double 16
long_long_int 8
unsigned_long_long_int 8
